,person,state,district,vote,name,party,session
269,412464,OK,,Yea,Sen. James Lankford [R],Republican,3
270,412471,SC,,Yea,Sen. Tim Scott [R],Republican,3
271,412490,CT,,Yea,Sen. Richard Blumenthal [D],Democrat,3
272,412491,FL,,Yea,Sen. Marco Rubio [R],Republican,3
273,412492,KY,,Yea,Sen. Rand Paul [R],Republican,3
274,412494,ND,,Yea,Sen. John Hoeven [R],Republican,3
275,412495,UT,,Yea,Sen. Mike Lee [R],Republican,3
276,412496,WI,,Yea,Sen. Ron Johnson [R],Republican,3
277,412507,HI,,Yea,Sen. Brian Schatz [D],Democrat,3
278,412508,AR,,Yea,Sen. Tom Cotton [R],Republican,3
279,412533,IL,,Yea,Sen. Tammy Duckworth [D],Democrat,3
280,412542,MA,,Yea,"Sen. Elizabeth Warren [D, 2013-2024]",Democrat,3
281,412545,ME,,Yea,"Sen. Angus King [I, 2013-2024]",Independent,3
282,412549,MT,,Yea,Sen. Steve Daines [R],Republican,3
283,412554,ND,,Yea,"Sen. Heidi Heitkamp [D, 2013-2018]",Democrat,3
284,412556,NE,,Yea,"Sen. Deb Fischer [R, 2013-2024]",Republican,3
285,412573,TX,,Not Voting,"Sen. Ted Cruz [R, 2013-2024]",Republican,3
286,412582,VA,,Yea,"Sen. Timothy “Tim” Kaine [D, 2013-2024]",Democrat,3
287,412598,NJ,,Yea,Sen. Cory Booker [D],Democrat,3
288,412665,AK,,Yea,Sen. Dan Sullivan [R],Republican,3
289,412666,GA,,Yea,Sen. David Perdue [R],Republican,3
290,412667,IA,,Yea,Sen. Joni Ernst [R],Republican,3
291,412668,NC,,Yea,Sen. Thom Tillis [R],Republican,3
292,412669,SD,,Yea,Sen. Mike Rounds [R],Republican,3
293,412671,NE,,Yea,Sen. Benjamin Sasse [R],Republican,3
294,412678,CA,,Yea,Sen. Kamala Harris [D],Democrat,3
295,412679,LA,,Yea,Sen. John Kennedy [R],Republican,3
